代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
002446,10.83,-0.46,0,839249633.3333333,0.0,5.06,11.2,10.65,10.74,10.88,1.0,11.08,10.91,11.15,10.91,14.67,11.97,0,0,0,0,0
002460,67.6,-0.5,0,5044400191.666666,0.0,5.52,70.55,66.8,68.5,67.94,1.0,-1.73,69.59,84.3,77.0,91.67,74.73,0,0,0,0,0
002478,6.72,-2.61,0,120071793.33333333,0.0,3.62,6.88,6.63,6.84,6.9,1.0,-5.35,7.36,8.86,7.87,13.87,7.59,0,0,0,0,0
002491,24.29,-8.68,0,4295494956.333333,0.0,7.67,25.98,23.94,25.81,26.6,1.0,-0.41,28.58,28.58,28.58,28.58,29.26,1,0,0,0,0
002471,7.04,-9.4,0,803671601.0,0.0,9.14,7.74,7.03,7.65,7.77,1.0,0.28,8.35,8.85,8.35,10.87,8.55,1,0,0,0,0
002432,64.98,-4.02,0,1190534272.0,0.0,6.53,67.8,63.38,67.69,67.7,1.0,-14.84,78.52,91.5,91.5,93.45,74.47,0,0,0,0,0
002497,21.95,0.69,0,1207986831.6666667,0.0,5.23,22.8,21.66,21.88,21.8,1.0,-1.48,22.73,29.1,25.84,32.0,23.98,0,0,0,0,0
002519,6.3,-1.87,0,189751483.33333334,0.0,4.52,6.5,6.21,6.36,6.42,1.0,-4.26,6.74,8.57,7.08,12.62,7.06,0,0,0,0,0
002472,42.69,-4.86,0,1933789435.6666665,0.0,6.86,45.54,42.46,44.5,44.87,1.0,6.09,45.98,46.12,45.98,49.47,49.36,0,0,0,0,0
002520,6.58,-2.37,0,493923769.99999994,0.0,5.93,6.88,6.48,6.65,6.74,1.0,15.64,7.04,7.15,7.04,7.21,7.41,1,0,0,0,0
002543,6.911,0.29,0,18289698.0,0.0,2.18,6.941,6.791,6.881,6.891,1.0,-2.95,7.27,7.98,7.55,11.74,7.58,0,0,0,0,0
002527,15.19,-6.0,0,544125946.0,0.0,5.2,15.96,15.12,15.83,16.16,1.0,3.62,16.93,16.93,16.93,18.58,17.78,1,0,0,0,0
002549,16.5,4.7,0,690274086.6666667,0.0,9.64,17.1,15.58,15.6,15.76,1.0,4.76,16.63,20.65,17.84,25.35,17.34,0,0,0,0,0
002465,14.06,-5.06,0,1479280296.6666667,0.0,7.02,14.84,13.8,14.58,14.81,1.0,-8.46,16.48,18.5,18.5,26.56,16.29,0,0,0,0,0
002552,59.3,-8.71,0,1537619725.3333335,0.0,9.9,65.0,58.57,58.58,64.96,1.0,-0.29,66.68,66.68,66.68,66.68,71.46,1,0,0,0,0
002579,15.82,-5.5,0,2112451356.0000002,0.0,10.22,17.29,15.58,16.62,16.74,1.0,-18.66,21.88,21.88,21.88,21.88,18.41,1,0,0,0,0
002575,6.18,0.16,0,623048251.6666666,0.0,8.91,6.57,6.02,6.02,6.17,1.0,4.22,6.28,8.16,6.28,9.59,6.79,1,1,0,0,0
002583,9.04,-3.73,0,734904499.9999999,0.0,5.32,9.48,8.98,9.39,9.39,1.0,8.78,9.39,10.25,9.39,12.45,10.33,1,1,0,0,0
002594,90.31,-1.72,0,2182923488.9999995,0.0,0.98,91.0,90.1,91.0,91.89,1.0,-4.76,96.0,100.0,99.5,111.82,101.08,0,0,0,0,0
002595,50.78,-1.65,0,205092192.0,0.0,3.6,51.86,50.0,51.0,51.63,1.0,-2.74,54.04,60.88,54.98,69.31,56.79,0,0,0,0,0
002602,14.56,1.32,0,1738263501.3333335,0.0,6.26,14.73,13.83,14.16,14.37,1.0,-3.06,15.55,15.86,15.59,20.82,15.81,0,0,0,0,0
